Source,Target,Type,Pokemon Type
Venusaur,AbomasnowMega Abomasnow,Undirected,Grass
Venusaur,Tangrowth,Undirected,Grass
Venusaur,Leafeon,Undirected,Grass
Venusaur,RotomMow Rotom,Undirected,Grass
Venusaur,ShayminLand Forme,Undirected,Grass
Venusaur,ShayminSky Forme,Undirected,Grass
Venusaur,Snivy,Undirected,Grass
Venusaur,Servine,Undirected,Grass
Venusaur,Serperior,Undirected,Grass
Venusaur,Pansage,Undirected,Grass
Venusaur,Simisage,Undirected,Grass
Venusaur,Sewaddle,Undirected,Grass
Venusaur,Swadloon,Undirected,Grass
Venusaur,Leavanny,Undirected,Grass
Venusaur,Cottonee,Undirected,Grass
Venusaur,Whimsicott,Undirected,Grass
Venusaur,Petilil,Undirected,Grass
Venusaur,Lilligant,Undirected,Grass
Venusaur,Maractus,Undirected,Grass
Venusaur,Deerling,Undirected,Grass
Venusaur,Sawsbuck,Undirected,Grass
Venusaur,Foongus,Undirected,Grass
Venusaur,Amoonguss,Undirected,Grass
Venusaur,Ferroseed,Undirected,Grass
Venusaur,Ferrothorn,Undirected,Grass
Venusaur,Virizion,Undirected,Grass
Venusaur,Chespin,Undirected,Grass
Venusaur,Quilladin,Undirected,Grass
Venusaur,Chesnaught,Undirected,Grass
Venusaur,Skiddo,Undirected,Grass
Venusaur,Gogoat,Undirected,Grass
Venusaur,Phantump,Undirected,Grass
Venusaur,Trevenant,Undirected,Grass
Venusaur,PumpkabooAverage Size,Undirected,Grass
Venusaur,PumpkabooSmall Size,Undirected,Grass
Venusaur,PumpkabooLarge Size,Undirected,Grass
Venusaur,PumpkabooSuper Size,Undirected,Grass
Venusaur,GourgeistAverage Size,Undirected,Grass
Venusaur,GourgeistSmall Size,Undirected,Grass
Venusaur,GourgeistLarge Size,Undirected,Grass
Venusaur,GourgeistSuper Size,Undirected,Grass
VenusaurMega Venusaur,Oddish,Undirected,Grass
VenusaurMega Venusaur,Gloom,Undirected,Grass
VenusaurMega Venusaur,Vileplume,Undirected,Grass
VenusaurMega Venusaur,Paras,Undirected,Grass
VenusaurMega Venusaur,Parasect,Undirected,Grass
VenusaurMega Venusaur,Bellsprout,Undirected,Grass
VenusaurMega Venusaur,Weepinbell,Undirected,Grass
VenusaurMega Venusaur,Victreebel,Undirected,Grass
VenusaurMega Venusaur,Exeggcute,Undirected,Grass
VenusaurMega Venusaur,Exeggutor,Undirected,Grass
VenusaurMega Venusaur,Tangela,Undirected,Grass
VenusaurMega Venusaur,Chikorita,Undirected,Grass
VenusaurMega Venusaur,Bayleef,Undirected,Grass
VenusaurMega Venusaur,Meganium,Undirected,Grass
VenusaurMega Venusaur,Bellossom,Undirected,Grass
VenusaurMega Venusaur,Hoppip,Undirected,Grass
VenusaurMega Venusaur,Skiploom,Undirected,Grass
VenusaurMega Venusaur,Jumpluff,Undirected,Grass
VenusaurMega Venusaur,Sunkern,Undirected,Grass
VenusaurMega Venusaur,Sunflora,Undirected,Grass
VenusaurMega Venusaur,Celebi,Undirected,Grass
VenusaurMega Venusaur,Treecko,Undirected,Grass
VenusaurMega Venusaur,Grovyle,Undirected,Grass
VenusaurMega Venusaur,Sceptile,Undirected,Grass
VenusaurMega Venusaur,SceptileMega Sceptile,Undirected,Grass
VenusaurMega Venusaur,Lotad,Undirected,Grass
VenusaurMega Venusaur,Lombre,Undirected,Grass
VenusaurMega Venusaur,Ludicolo,Undirected,Grass
VenusaurMega Venusaur,Seedot,Undirected,Grass
VenusaurMega Venusaur,Nuzleaf,Undirected,Grass
VenusaurMega Venusaur,Shiftry,Undirected,Grass
VenusaurMega Venusaur,Shroomish,Undirected,Grass
VenusaurMega Venusaur,Breloom,Undirected,Grass
VenusaurMega Venusaur,Roselia,Undirected,Grass
VenusaurMega Venusaur,Cacnea,Undirected,Grass
VenusaurMega Venusaur,Cacturne,Undirected,Grass
VenusaurMega Venusaur,Lileep,Undirected,Grass
VenusaurMega Venusaur,Cradily,Undirected,Grass
VenusaurMega Venusaur,Tropius,Undirected,Grass
VenusaurMega Venusaur,Turtwig,Undirected,Grass
VenusaurMega Venusaur,Grotle,Undirected,Grass
VenusaurMega Venusaur,Torterra,Undirected,Grass
VenusaurMega Venusaur,Budew,Undirected,Grass
VenusaurMega Venusaur,Roserade,Undirected,Grass
VenusaurMega Venusaur,WormadamPlant Cloak,Undirected,Grass
VenusaurMega Venusaur,Cherubi,Undirected,Grass
VenusaurMega Venusaur,Cherrim,Undirected,Grass
VenusaurMega Venusaur,Carnivine,Undirected,Grass
VenusaurMega Venusaur,Snover,Undirected,Grass
VenusaurMega Venusaur,Abomasnow,Undirected,Grass
VenusaurMega Venusaur,AbomasnowMega Abomasnow,Undirected,Grass
VenusaurMega Venusaur,Tangrowth,Undirected,Grass
VenusaurMega Venusaur,Leafeon,Undirected,Grass
VenusaurMega Venusaur,RotomMow Rotom,Undirected,Grass
VenusaurMega Venusaur,ShayminLand Forme,Undirected,Grass
VenusaurMega Venusaur,ShayminSky Forme,Undirected,Grass
VenusaurMega Venusaur,Snivy,Undirected,Grass
VenusaurMega Venusaur,Servine,Undirected,Grass
VenusaurMega Venusaur,Serperior,Undirected,Grass
VenusaurMega Venusaur,Pansage,Undirected,Grass
VenusaurMega Venusaur,Simisage,Undirected,Grass
VenusaurMega Venusaur,Sewaddle,Undirected,Grass
VenusaurMega Venusaur,Swadloon,Undirected,Grass
VenusaurMega Venusaur,Leavanny,Undirected,Grass
VenusaurMega Venusaur,Cottonee,Undirected,Grass
VenusaurMega Venusaur,Whimsicott,Undirected,Grass
VenusaurMega Venusaur,Petilil,Undirected,Grass
VenusaurMega Venusaur,Lilligant,Undirected,Grass
VenusaurMega Venusaur,Maractus,Undirected,Grass
VenusaurMega Venusaur,Deerling,Undirected,Grass
VenusaurMega Venusaur,Sawsbuck,Undirected,Grass
VenusaurMega Venusaur,Foongus,Undirected,Grass
VenusaurMega Venusaur,Amoonguss,Undirected,Grass
VenusaurMega Venusaur,Ferroseed,Undirected,Grass
VenusaurMega Venusaur,Ferrothorn,Undirected,Grass
VenusaurMega Venusaur,Virizion,Undirected,Grass
VenusaurMega Venusaur,Chespin,Undirected,Grass
VenusaurMega Venusaur,Quilladin,Undirected,Grass
VenusaurMega Venusaur,Chesnaught,Undirected,Grass
VenusaurMega Venusaur,Skiddo,Undirected,Grass
VenusaurMega Venusaur,Gogoat,Undirected,Grass
VenusaurMega Venusaur,Phantump,Undirected,Grass
VenusaurMega Venusaur,Trevenant,Undirected,Grass
VenusaurMega Venusaur,PumpkabooAverage Size,Undirected,Grass
VenusaurMega Venusaur,PumpkabooSmall Size,Undirected,Grass
VenusaurMega Venusaur,PumpkabooLarge Size,Undirected,Grass
VenusaurMega Venusaur,PumpkabooSuper Size,Undirected,Grass
VenusaurMega Venusaur,GourgeistAverage Size,Undirected,Grass
VenusaurMega Venusaur,GourgeistSmall Size,Undirected,Grass
VenusaurMega Venusaur,GourgeistLarge Size,Undirected,Grass
VenusaurMega Venusaur,GourgeistSuper Size,Undirected,Grass
Oddish,Gloom,Undirected,Grass
Oddish,Vileplume,Undirected,Grass
Oddish,Paras,Undirected,Grass
Oddish,Parasect,Undirected,Grass
Oddish,Bellsprout,Undirected,Grass
Oddish,Weepinbell,Undirected,Grass
Oddish,Victreebel,Undirected,Grass
Oddish,Exeggcute,Undirected,Grass
Oddish,Exeggutor,Undirected,Grass
Oddish,Tangela,Undirected,Grass
Oddish,Chikorita,Undirected,Grass
Oddish,Bayleef,Undirected,Grass
Oddish,Meganium,Undirected,Grass
Oddish,Bellossom,Undirected,Grass
Oddish,Hoppip,Undirected,Grass
Oddish,Skiploom,Undirected,Grass
Oddish,Jumpluff,Undirected,Grass
Oddish,Sunkern,Undirected,Grass
Oddish,Sunflora,Undirected,Grass
Oddish,Celebi,Undirected,Grass
Oddish,Treecko,Undirected,Grass
Oddish,Grovyle,Undirected,Grass
Oddish,Sceptile,Undirected,Grass
Oddish,SceptileMega Sceptile,Undirected,Grass
Oddish,Lotad,Undirected,Grass
Oddish,Lombre,Undirected,Grass
Oddish,Ludicolo,Undirected,Grass
Oddish,Seedot,Undirected,Grass
Oddish,Nuzleaf,Undirected,Grass
Oddish,Shiftry,Undirected,Grass
Oddish,Shroomish,Undirected,Grass
Oddish,Breloom,Undirected,Grass
Oddish,Roselia,Undirected,Grass
Oddish,Cacnea,Undirected,Grass
Oddish,Cacturne,Undirected,Grass
Oddish,Lileep,Undirected,Grass
Oddish,Cradily,Undirected,Grass
Oddish,Tropius,Undirected,Grass
Oddish,Turtwig,Undirected,Grass
Oddish,Grotle,Undirected,Grass
Oddish,Torterra,Undirected,Grass
Oddish,Budew,Undirected,Grass
Oddish,Roserade,Undirected,Grass
Oddish,WormadamPlant Cloak,Undirected,Grass
Oddish,Cherubi,Undirected,Grass
Oddish,Cherrim,Undirected,Grass
Oddish,Carnivine,Undirected,Grass
Oddish,Snover,Undirected,Grass
Oddish,Abomasnow,Undirected,Grass
Oddish,AbomasnowMega Abomasnow,Undirected,Grass
Oddish,Tangrowth,Undirected,Grass
Oddish,Leafeon,Undirected,Grass
Oddish,RotomMow Rotom,Undirected,Grass
Oddish,ShayminLand Forme,Undirected,Grass
Oddish,ShayminSky Forme,Undirected,Grass
Oddish,Snivy,Undirected,Grass
Oddish,Servine,Undirected,Grass
Oddish,Serperior,Undirected,Grass
Oddish,Pansage,Undirected,Grass
Oddish,Simisage,Undirected,Grass
Oddish,Sewaddle,Undirected,Grass
Oddish,Swadloon,Undirected,Grass
Oddish,Leavanny,Undirected,Grass
Oddish,Cottonee,Undirected,Grass
Oddish,Whimsicott,Undirected,Grass
Oddish,Petilil,Undirected,Grass
Oddish,Lilligant,Undirected,Grass
Oddish,Maractus,Undirected,Grass
Oddish,Deerling,Undirected,Grass
Oddish,Sawsbuck,Undirected,Grass
Oddish,Foongus,Undirected,Grass
Oddish,Amoonguss,Undirected,Grass
Oddish,Ferroseed,Undirected,Grass
Oddish,Ferrothorn,Undirected,Grass
Oddish,Virizion,Undirected,Grass
Oddish,Chespin,Undirected,Grass
Oddish,Quilladin,Undirected,Grass
Oddish,Chesnaught,Undirected,Grass
Oddish,Skiddo,Undirected,Grass
Oddish,Gogoat,Undirected,Grass
Oddish,Phantump,Undirected,Grass
Oddish,Trevenant,Undirected,Grass
Oddish,PumpkabooAverage Size,Undirected,Grass
Oddish,PumpkabooSmall Size,Undirected,Grass
Oddish,PumpkabooLarge Size,Undirected,Grass
Oddish,PumpkabooSuper Size,Undirected,Grass
Oddish,GourgeistAverage Size,Undirected,Grass
Oddish,GourgeistSmall Size,Undirected,Grass
Oddish,GourgeistLarge Size,Undirected,Grass
Oddish,GourgeistSuper Size,Undirected,Grass
Gloom,Vileplume,Undirected,Grass
Gloom,Paras,Undirected,Grass
Gloom,Parasect,Undirected,Grass
Gloom,Bellsprout,Undirected,Grass
Gloom,Weepinbell,Undirected,Grass
Gloom,Victreebel,Undirected,Grass
Gloom,Exeggcute,Undirected,Grass
Gloom,Exeggutor,Undirected,Grass
Gloom,Tangela,Undirected,Grass
Gloom,Chikorita,Undirected,Grass
Gloom,Bayleef,Undirected,Grass
Gloom,Meganium,Undirected,Grass
Gloom,Bellossom,Undirected,Grass
Gloom,Hoppip,Undirected,Grass
Gloom,Skiploom,Undirected,Grass
Gloom,Jumpluff,Undirected,Grass
Gloom,Sunkern,Undirected,Grass
Gloom,Sunflora,Undirected,Grass
Gloom,Celebi,Undirected,Grass
Gloom,Treecko,Undirected,Grass
Gloom,Grovyle,Undirected,Grass
Gloom,Sceptile,Undirected,Grass
Gloom,SceptileMega Sceptile,Undirected,Grass
Gloom,Lotad,Undirected,Grass
Gloom,Lombre,Undirected,Grass
Gloom,Ludicolo,Undirected,Grass
Gloom,Seedot,Undirected,Grass
Gloom,Nuzleaf,Undirected,Grass
Gloom,Shiftry,Undirected,Grass
Gloom,Shroomish,Undirected,Grass
Gloom,Breloom,Undirected,Grass
Gloom,Roselia,Undirected,Grass
Gloom,Cacnea,Undirected,Grass
Gloom,Cacturne,Undirected,Grass
Gloom,Lileep,Undirected,Grass
Gloom,Cradily,Undirected,Grass
Gloom,Tropius,Undirected,Grass
Gloom,Turtwig,Undirected,Grass
Gloom,Grotle,Undirected,Grass
Gloom,Torterra,Undirected,Grass
Gloom,Budew,Undirected,Grass
Gloom,Roserade,Undirected,Grass
Gloom,WormadamPlant Cloak,Undirected,Grass
Gloom,Cherubi,Undirected,Grass
Gloom,Cherrim,Undirected,Grass
Gloom,Carnivine,Undirected,Grass
Gloom,Snover,Undirected,Grass
Gloom,Abomasnow,Undirected,Grass
Gloom,AbomasnowMega Abomasnow,Undirected,Grass
Gloom,Tangrowth,Undirected,Grass
Gloom,Leafeon,Undirected,Grass
Gloom,RotomMow Rotom,Undirected,Grass
Gloom,ShayminLand Forme,Undirected,Grass
Gloom,ShayminSky Forme,Undirected,Grass
Gloom,Snivy,Undirected,Grass
Gloom,Servine,Undirected,Grass
Gloom,Serperior,Undirected,Grass
Gloom,Pansage,Undirected,Grass
Gloom,Simisage,Undirected,Grass
Gloom,Sewaddle,Undirected,Grass
Gloom,Swadloon,Undirected,Grass
Gloom,Leavanny,Undirected,Grass
Gloom,Cottonee,Undirected,Grass
Gloom,Whimsicott,Undirected,Grass
Gloom,Petilil,Undirected,Grass
Gloom,Lilligant,Undirected,Grass
Gloom,Maractus,Undirected,Grass
Gloom,Deerling,Undirected,Grass
Gloom,Sawsbuck,Undirected,Grass
Gloom,Foongus,Undirected,Grass
Gloom,Amoonguss,Undirected,Grass
Gloom,Ferroseed,Undirected,Grass
Gloom,Ferrothorn,Undirected,Grass
Gloom,Virizion,Undirected,Grass
Gloom,Chespin,Undirected,Grass
Gloom,Quilladin,Undirected,Grass
Gloom,Chesnaught,Undirected,Grass
Gloom,Skiddo,Undirected,Grass
Gloom,Gogoat,Undirected,Grass
Gloom,Phantump,Undirected,Grass
Gloom,Trevenant,Undirected,Grass
Gloom,PumpkabooAverage Size,Undirected,Grass
Gloom,PumpkabooSmall Size,Undirected,Grass
Gloom,PumpkabooLarge Size,Undirected,Grass
Gloom,PumpkabooSuper Size,Undirected,Grass
Gloom,GourgeistAverage Size,Undirected,Grass
Gloom,GourgeistSmall Size,Undirected,Grass
Gloom,GourgeistLarge Size,Undirected,Grass
Gloom,GourgeistSuper Size,Undirected,Grass
Vileplume,Paras,Undirected,Grass
Vileplume,Parasect,Undirected,Grass
Vileplume,Bellsprout,Undirected,Grass
Vileplume,Weepinbell,Undirected,Grass
Vileplume,Victreebel,Undirected,Grass
Vileplume,Exeggcute,Undirected,Grass
Vileplume,Exeggutor,Undirected,Grass
Vileplume,Tangela,Undirected,Grass
Vileplume,Chikorita,Undirected,Grass
Vileplume,Bayleef,Undirected,Grass
Vileplume,Meganium,Undirected,Grass
Vileplume,Bellossom,Undirected,Grass
Vileplume,Hoppip,Undirected,Grass
Vileplume,Skiploom,Undirected,Grass
Vileplume,Jumpluff,Undirected,Grass
Vileplume,Sunkern,Undirected,Grass
Vileplume,Sunflora,Undirected,Grass
Vileplume,Celebi,Undirected,Grass
Vileplume,Treecko,Undirected,Grass
Vileplume,Grovyle,Undirected,Grass
Vileplume,Sceptile,Undirected,Grass
Vileplume,SceptileMega Sceptile,Undirected,Grass
Vileplume,Lotad,Undirected,Grass
Vileplume,Lombre,Undirected,Grass
Vileplume,Ludicolo,Undirected,Grass
Vileplume,Seedot,Undirected,Grass
Vileplume,Nuzleaf,Undirected,Grass
Vileplume,Shiftry,Undirected,Grass
Vileplume,Shroomish,Undirected,Grass
Vileplume,Breloom,Undirected,Grass
Vileplume,Roselia,Undirected,Grass
Vileplume,Cacnea,Undirected,Grass
Vileplume,Cacturne,Undirected,Grass
Vileplume,Lileep,Undirected,Grass
Vileplume,Cradily,Undirected,Grass
Vileplume,Tropius,Undirected,Grass
Vileplume,Turtwig,Undirected,Grass
Vileplume,Grotle,Undirected,Grass
Vileplume,Torterra,Undirected,Grass
Vileplume,Budew,Undirected,Grass
Vileplume,Roserade,Undirected,Grass
Vileplume,WormadamPlant Cloak,Undirected,Grass
Vileplume,Cherubi,Undirected,Grass
Vileplume,Cherrim,Undirected,Grass
Vileplume,Carnivine,Undirected,Grass
Vileplume,Snover,Undirected,Grass
Vileplume,Abomasnow,Undirected,Grass
Vileplume,AbomasnowMega Abomasnow,Undirected,Grass
Vileplume,Tangrowth,Undirected,Grass
Vileplume,Leafeon,Undirected,Grass
Vileplume,RotomMow Rotom,Undirected,Grass
Vileplume,ShayminLand Forme,Undirected,Grass
Vileplume,ShayminSky Forme,Undirected,Grass
Vileplume,Snivy,Undirected,Grass
Vileplume,Servine,Undirected,Grass
Vileplume,Serperior,Undirected,Grass
Vileplume,Pansage,Undirected,Grass
Vileplume,Simisage,Undirected,Grass
Vileplume,Sewaddle,Undirected,Grass
Vileplume,Swadloon,Undirected,Grass
Vileplume,Leavanny,Undirected,Grass
Vileplume,Cottonee,Undirected,Grass
